从旷视到原力灵机，唐文斌的第二次创业
【晚点聊 LateTalk】
============================================================
带说话人标签 | 5650 段落
============================================================

[主持人] 你们最多的时候是不是有十几个IOI的金牌

[唐文斌] 我们NOI的金牌更多

[主持人] 当时范浩强作为高中生是怎么跑到你们这上班的

[唐文斌] 反正这也是个有趣故事

[唐文斌] 以前研究员有一个挺逗的

[唐文斌] 大家有句话叫这不本质

[唐文斌] 大家都想去解决那个本质的问题

[唐文斌] 但实际上当你真正变成一个商业化的产品的时候

[唐文斌] 那你所有对客户有影响的东西都是本质的对吧

[唐文斌] 它不是那个最后最难的那个事情

[唐文斌] 它才是本质的

[唐文斌] 所以还是回到刚才那个问题

[唐文斌] 就是今天到底有多少机器人

[唐文斌] 巨声机器人是在被持续的使用

[唐文斌] 有多少

[主持人] 欢迎收看晚点聊

[主持人] 我是曼琪

[主持人] 本期节目的嘉宾是唐文斌

[主持人] 他是矿石科技的联合创始人

[主持人] 25年年初他成立原理灵机

[主持人] 开始聚声智能新创业

[主持人] 唐文斌曾做过7年中国信效赛国家队的总教练

[主持人] 所以他在清华读本科和研究生时

[主持人] 就认识了大量信效赛小天才

[主持人] 其中不少人后来加入了矿石

[主持人] 现在又在原理灵机和唐文斌一起创业

[主持人] 这期节目我们聊了竞赛往事

[主持人] 矿石的创业复盘和原理灵机的这一年

[主持人] 原理有一些特别的思考和选择

[主持人] 比如他们没有马上做人型机器人

[主持人] 他们没有像大部分聚声公司一样

[主持人] 以一个开源的VLM或视频基模为基础

[主持人] 而是自己参与基模的预训练

[主持人] 他们看起来做了一些吃力不讨好的生态工作

[主持人] 比如开源了聚声框站DexBotic

[主持人] 合发起与运营聚声测评平台Global Challenge

[主持人] 原理可能会给中国聚声市场带来哪些不同呢

[主持人] 我们正式进入本期节目吧

[主持人] 今天非常高兴可以邀请到

[主持人] 唐文斌原理灵机的创始人

[主持人] 做个晚点聊

[主持人] 你可以和我们的听众

[主持人] 能够简单打一个招呼

[唐文斌] OK 晚些好 大家好

[唐文斌] 我是原理灵机联合创始人兼CEO唐文斌

[唐文斌] 然后灵机是一家

[唐文斌] 我们希望去打造智能的有用的

[唐文斌] 可信赖的机器人

[唐文斌] 那这是我们的实名的描述

[唐文斌] 所以我们希望能够通过聚声智能

[唐文斌] 通过AI的能力

[唐文斌] 能够以机器人作为形态

[唐文斌] 能够去赋能更多场景

[唐文斌] 去创造更多价值的这样一家公司

[主持人] 文斌也是一个非常资深的AI创业者

[主持人] 就是2011年的时候

[主持人] 你是和印奇和杨木一起做了矿事

[主持人] 然后25年

[主持人] 原理灵机一直中间

[主持人] 有十几年的过程

[主持人] 包括你从初中的时候

[主持人] 就开始做编程

[主持人] 然后我也想从这段经历聊聊

[主持人] 你可以讲讲就是最开始

[主持人] 你是怎么接触上编程

[主持人] 然后怎么开始做竞赛的吗

[唐文斌] 就我老家是绍兴下面的一个县城

[唐文斌] 叫新昌

[唐文斌] 然后呢我们那个地方

[唐文斌] 其实原来没有结束过这个竞赛

[唐文斌] 然后非常巧合

[唐文斌] 就是我上初二的时候

[唐文斌] 然后当时我们的那个初中

[唐文斌] 叫新昌城关中学

[唐文斌] 就刚刚开始搞这个竞赛

[唐文斌] 然后他就从每个班里面

[唐文斌] 挑了两个数学最好的同学

[唐文斌] 然后去那儿学这个竞赛

[唐文斌] 然后非常巧合

[唐文斌] 反正也是阴差阳错吧

[唐文斌] 就是遇到了这个

[唐文斌] 就是编程竞赛

[唐文斌] NMI这个事情

[唐文斌] 然后我们就觉得

[唐文斌] 就非常的有意思

[唐文斌] 然后我们当时有很多小伙伴

[唐文斌] 去这个机房里面

[唐文斌] 然后老师也给了我们机房的钥匙

[唐文斌] 然后很多小伙伴去了机房

[唐文斌] 就是更愿意打游戏

[唐文斌] 但我们有两三个人呢

[唐文斌] 我们更觉得就是说

[唐文斌] 编程其实比打游戏更好玩

[唐文斌] 所以我觉得就是一个

[唐文斌] 也是跟兴趣有关吧

[唐文斌] 所以就是从那时候开始

[唐文斌] 结束竞赛

[唐文斌] 运气也比较好

[唐文斌] 然后也拿了一些成绩

[主持人] 就当时对十几岁的你来说

[主持人] 你觉得编程的乐趣

[主持人] 如果描述一下它是什么了

[唐文斌] 我觉得是一种叫解决问题的

[唐文斌] 叫做解决问题的这种成就感吧

[唐文斌] 就是说那你有一个问题在那里

[唐文斌] 然后呢你通过构思一个方法

[唐文斌] 一个算法

[唐文斌] 然后你把它编程实现

[唐文斌] 然后你通过了所有的测试

[唐文斌] 确实解决了这个问题

[唐文斌] 然后你这个代码又写得很优美

[唐文斌] 那你在这个时候

[唐文斌] 其实是有一种叫做

[唐文斌] 这种工程师的解决问题的快感

[唐文斌] 我认为这个其实是一个

[唐文斌] 非常强的一个正面的

[唐文斌] 一个正向激励

[主持人] 那像这种就是信息

[主持人] 因为它可能

[主持人] 涉及到时机去编程什么的

[主持人] 有什么不一样的地方

[唐文斌] 我其实原来也参加数学竞赛

[唐文斌] 跟物理竞赛

[唐文斌] OK

[唐文斌] 我们全部都参加

[唐文斌] 数学题和物理题

[唐文斌] 其实很多时候其实就是在

[唐文斌] 相当于这个题

[唐文斌] 有一种解法

[唐文斌] 那其实也是一种解题的一种快乐

[唐文斌] 但是编程

[唐文斌] 它很多时候

[唐文斌] 它的解法不唯一

[唐文斌] 它其实有很多种不同的解法

[唐文斌] 而且我们并不是去求得那个答案

[唐文斌] 而是在设计一种方法

[唐文斌] 去求得这个答案

[唐文斌] 所以在寻找一种过程

[唐文斌] 然后也有很多的

[唐文斌] 那个编程的题目

[唐文斌] 它也很有意思

[唐文斌] 就是它其实是没有最优解的

[唐文斌] 比如说我们找到一条最短路

[唐文斌] 或者是求一个什么样的一个解

[唐文斌] 使得一个问题的一个优化方案

[唐文斌] 能够达到一个比较优的一个方案

[唐文斌] 那它其实并不存在一个最优解

[唐文斌] 所以你其实可以去发挥你的想象

[唐文斌] 发挥你的这种可能性

[唐文斌] 去找到那个较优解

[唐文斌] 那这个其实跟今天这个

[唐文斌] 这个做AI或者做优化问题

[唐文斌] 其实很多事情其实是一样的

[唐文斌] 所以就这个过程中是一个

[唐文斌] 是一个不断地去思考

[唐文斌] 寻找解法

[唐文斌] 哎

[唐文斌] 获得反应

[唐文斌] 反馈

[唐文斌] 而且这个反馈很多时候其实是比较及时的

[唐文斌] 因为你的程序可以提交上去

[唐文斌] 它马上就可以给你一个wrong answer

[唐文斌] 或者给你一个accepted

[唐文斌] 所以我们当时除了做精彩题

[唐文斌] 其实也写了很多不同的程序

[唐文斌] 我们当时也做过网站

[唐文斌] 也写过一些

[唐文斌] 比如说我们也玩游戏对吧

[唐文斌] 然后写过游戏外挂

